Img_pre	Mean_pre	SD_pre	Img_post	Mean_post	SD_post
250 Marquette.jpg	138.8750	65.3960	cielab_250 Marquette.jpg	137.5183	23.1644
430 Oak Grove.jpg	139.0449	61.8735	cielab_430 Oak Grove.jpg	137.5183	23.1644
5Th Street Towers.jpg	146.7973	62.0805	cielab_5Th Street Towers.jpg	137.5183	23.1644
Acadia Cafe.jpg	131.4273	60.6670	cielab_Acadia Cafe.jpg	137.5183	23.1644
Agra Culture Kitchen.jpg	99.8511	72.2041	cielab_Agra Culture Kitchen.jpg	137.5183	23.1644
Akron Canal Park.jpg	153.9447	53.6048	cielab_Akron Canal Park.jpg	137.5183	23.1644
Alabama State Capitol.jpg	154.1685	64.3997	cielab_Alabama State Capitol.jpg	137.5183	23.1644
Alexander Ramsey House.jpg	119.4831	61.3468	cielab_Alexander Ramsey House.jpg	137.5183	23.1644
Allianz Field.jpg	139.7130	71.0248	cielab_Allianz Field.jpg	137.5183	23.1644
American Swedish Institute.jpg	134.4897	55.5209	cielab_American Swedish Institute.jpg	137.5183	23.1644
Amill Artist Lofts.jpg	161.6750	61.4797	cielab_Amill Artist Lofts.jpg	137.5183	23.1644
Angel Hall Ann Arbor.jpg	158.1464	61.1108	cielab_Angel Hall Ann Arbor.jpg	137.5183	23.1644
Ann Arbor Mural.jpg	137.9507	65.5660	cielab_Ann Arbor Mural.jpg	137.5183	23.1644
Annies Parlour.jpg	133.6418	60.5854	cielab_Annies Parlour.jpg	137.5183	23.1644
Anthony Cragg Sculpture.jpg	142.0849	63.0905	cielab_Anthony Cragg Sculpture.jpg	137.5183	23.1644
Ard Godfrey House.jpg	103.6778	57.7153	cielab_Ard Godfrey House.jpg	137.5183	23.1644
Armory.jpg	160.6312	62.1480	cielab_Armory.jpg	137.5183	23.1644
Arvonne Fraser Library.jpg	137.9523	56.3389	cielab_Arvonne Fraser Library.jpg	137.5183	23.1644
Aster Cafe.jpg	127.9990	63.6046	cielab_Aster Cafe.jpg	137.5183	23.1644
At T Tower.jpg	159.8753	61.4310	cielab_At T Tower.jpg	137.5183	23.1644
Augsburg University.jpg	112.4891	57.5588	cielab_Augsburg University.jpg	137.5183	23.1644
Band Box Diner.jpg	134.5185	51.9271	cielab_Band Box Diner.jpg	137.5183	23.1644
Baseball Statue.jpg	122.6043	59.6400	cielab_Baseball Statue.jpg	137.5183	23.1644
Basillica.jpg	177.0392	45.5741	cielab_Basillica.jpg	137.5183	23.1644
Baxter Arena.jpg	134.3444	74.2564	cielab_Baxter Arena.jpg	137.5183	23.1644
Bell Museum.jpg	120.8815	49.5449	cielab_Bell Museum.jpg	137.5183	23.1644
Bethlehem Baptist Church.jpg	141.0332	58.4200	cielab_Bethlehem Baptist Church.jpg	137.5183	23.1644
Black Coffee And Waffle Bar.jpg	136.9689	74.3233	cielab_Black Coffee And Waffle Bar.jpg	137.5183	23.1644
Blue Chicken Sculpture.jpg	147.1842	69.8765	cielab_Blue Chicken Sculpture.jpg	137.5183	23.1644
Boom Island Lighthouse.jpg	135.3255	64.3478	cielab_Boom Island Lighthouse.jpg	137.5183	23.1644
Boynton Health.jpg	136.1722	49.5474	cielab_Boynton Health.jpg	137.5183	23.1644
Brit’s Pub.jpg	149.5738	65.4887	cielab_Brit’s Pub.jpg	137.5183	23.1644
Bronze Bulls.jpg	158.1653	64.0073	cielab_Bronze Bulls.jpg	137.5183	23.1644
Bruininks Hall.jpg	125.3431	43.7337	cielab_Bruininks Hall.jpg	137.5183	23.1644
Building And Tower Statue.jpg	136.8134	53.1401	cielab_Building And Tower Statue.jpg	137.5183	23.1644
CHS Field.jpg	133.7585	45.3633	cielab_CHS Field.jpg	137.5183	23.1644
Caleb Ddorr Statue.jpg	121.0593	77.7878	cielab_Caleb Ddorr Statue.jpg	137.5183	23.1644
Campbell Mithun Tower.jpg	109.8440	40.1210	cielab_Campbell Mithun Tower.jpg	137.5183	23.1644
Candy Land.jpg	111.3319	62.8775	cielab_Candy Land.jpg	137.5183	23.1644
Capitol Building.jpg	130.3469	40.7042	cielab_Capitol Building.jpg	137.5183	23.1644
Carlson School Of Management.jpg	167.4783	62.0782	cielab_Carlson School Of Management.jpg	137.5183	23.1644
Carroll Building,Connecticut.jpg	95.2683	52.1330	cielab_Carroll Building,Connecticut.jpg	137.5183	23.1644
Carty Park.jpg	118.7489	40.9954	cielab_Carty Park.jpg	137.5183	23.1644
Cecils.jpg	119.4385	58.9294	cielab_Cecils.jpg	137.5183	23.1644
Central Ave NE.jpg	136.1150	83.1046	cielab_Central Ave NE.jpg	137.5183	23.1644
Central Lutheran Church.jpg	137.0702	73.8342	cielab_Central Lutheran Church.jpg	137.5183	23.1644
Central Presbyterian Church.jpg	133.3764	61.7148	cielab_Central Presbyterian Church.jpg	137.5183	23.1644
Central Village Park.jpg	112.0341	58.5772	cielab_Central Village Park.jpg	137.5183	23.1644
Charles Lindbergh Statue.jpg	129.3850	65.8670	cielab_Charles Lindbergh Statue.jpg	137.5183	23.1644
Charles Schwab Field.jpg	119.3843	82.0729	cielab_Charles Schwab Field.jpg	137.5183	23.1644
Charlie Brown Statue.jpg	113.5409	68.1285	cielab_Charlie Brown Statue.jpg	137.5183	23.1644
Cherry On The Spoon.jpg	149.0631	54.5060	cielab_Cherry On The Spoon.jpg	137.5183	23.1644
Chez Olga.jpg	130.9989	87.7444	cielab_Chez Olga.jpg	137.5183	23.1644
Chicago Liquior.jpg	157.2441	54.6451	cielab_Chicago Liquior.jpg	137.5183	23.1644
Childrens Hospital St Paul.jpg	153.2108	56.3350	cielab_Childrens Hospital St Paul.jpg	137.5183	23.1644
Children’s Hospital Minneapolis.jpg	140.5843	67.1405	cielab_Children’s Hospital Minneapolis.jpg	137.5183	23.1644
Children’s Museum Of Indianapolis.jpg	137.7577	54.7135	cielab_Children’s Museum Of Indianapolis.jpg	137.5183	23.1644
Christopher Columbus Statue.jpg	119.8326	53.1191	cielab_Christopher Columbus Statue.jpg	137.5183	23.1644
Church Of Scientology.jpg	167.6724	58.2262	cielab_Church Of Scientology.jpg	137.5183	23.1644
Church Of St Casimir.jpg	109.9662	46.7258	cielab_Church Of St Casimir.jpg	137.5183	23.1644
Church Of The Assumption.jpg	125.9301	55.7284	cielab_Church Of The Assumption.jpg	137.5183	23.1644
Cincinnati Eden Park.jpg	110.3576	78.6286	cielab_Cincinnati Eden Park.jpg	137.5183	23.1644
Cincinnati Music Hall.jpg	122.9316	61.5796	cielab_Cincinnati Music Hall.jpg	137.5183	23.1644
Cincinnati Observatory.jpg	190.6855	65.4031	cielab_Cincinnati Observatory.jpg	137.5183	23.1644
Cinnabon Store Mall Of America.jpg	118.0787	64.9415	cielab_Cinnabon Store Mall Of America.jpg	137.5183	23.1644
Cities Church.jpg	153.7708	66.6266	cielab_Cities Church.jpg	137.5183	23.1644
City Hall Oakland.jpg	147.5300	49.5878	cielab_City Hall Oakland.jpg	137.5183	23.1644
City Hall Statue.jpg	133.0850	53.3866	cielab_City Hall Statue.jpg	137.5183	23.1644
City Hall.jpg	127.0770	59.8248	cielab_City Hall.jpg	137.5183	23.1644
Cleveland Metropark.jpg	97.2797	55.5959	cielab_Cleveland Metropark.jpg	137.5183	23.1644
Cochran Park Fountain.jpg	112.4348	76.6248	cielab_Cochran Park Fountain.jpg	137.5183	23.1644
Coffman Memorial Union.jpg	118.2395	61.9299	cielab_Coffman Memorial Union.jpg	137.5183	23.1644
Colorado St Bridge.jpg	161.0371	53.1446	cielab_Colorado St Bridge.jpg	137.5183	23.1644
Como Conservatory.jpg	157.6364	51.3823	cielab_Como Conservatory.jpg	137.5183	23.1644
Como Zoo Conservatory.jpg	104.9489	75.1415	cielab_Como Zoo Conservatory.jpg	137.5183	23.1644
Coney Island Tavern.jpg	90.2179	66.0819	cielab_Coney Island Tavern.jpg	137.5183	23.1644
Cossetta.jpg	118.8163	66.0940	cielab_Cossetta.jpg	137.5183	23.1644
Craft Council Building.jpg	153.2067	54.0091	cielab_Craft Council Building.jpg	137.5183	23.1644
