Img_pre	Mean_pre	SD_pre	Img_post	Mean_post	SD_post
Buchanan_ComoConservatory_cropped.jpg	157.4217	53.3175	cielab_Buchanan_ComoConservatory_cropped.jpg	138.0286	17.6180
Buchanan_Fairgrounds_cropped.jpg	194.8401	67.5223	cielab_Buchanan_Fairgrounds_cropped.jpg	138.0286	17.6180
Buchanan_JamesJHillHouse_cropped.jpg	132.1309	62.3761	cielab_Buchanan_JamesJHillHouse_cropped.jpg	138.0286	17.6180
Buchanan_NYLifeEagle_cropped.jpg	131.7165	73.1592	cielab_Buchanan_NYLifeEagle_cropped.jpg	138.0286	17.6180
Buchanan_StThomasCathedral_cropped.jpg	130.0954	71.7616	cielab_Buchanan_StThomasCathedral_cropped.jpg	138.0286	17.6180
Ichel_EcolabBuilding_cropped.jpg	151.5335	41.8738	cielab_Ichel_EcolabBuilding_cropped.jpg	138.0286	17.6180
Ichel_FirstAvenue_cropped.jpg	108.8463	73.9516	cielab_Ichel_FirstAvenue_cropped.jpg	138.0286	17.6180
Ichel_GoldMedalFlourBuilding_cropped.jpg	162.1434	63.7540	cielab_Ichel_GoldMedalFlourBuilding_cropped.jpg	138.0286	17.6180
Ichel_GoldMedalParkSign_cropped.jpg	164.3784	58.7546	cielab_Ichel_GoldMedalParkSign_cropped.jpg	138.0286	17.6180
Ichel_GuthrieTheater_cropped.jpg	124.2297	75.0226	cielab_Ichel_GuthrieTheater_cropped.jpg	138.0286	17.6180
Ichel_HennepinCountyGovernmentCenter_cropped.jpg	149.9975	53.3239	cielab_Ichel_HennepinCountyGovernmentCenter_cropped.jpg	138.0286	17.6180
Ichel_LandmarkCenter_cropped.jpg	150.9775	45.3216	cielab_Ichel_LandmarkCenter_cropped.jpg	138.0286	17.6180
Ichel_MinneapolisCourthouse_cropped.jpg	157.4221	63.0125	cielab_Ichel_MinneapolisCourthouse_cropped.jpg	138.0286	17.6180
Ichel_MinnesotaHistoryCenter_cropped.jpg	145.9108	44.7895	cielab_Ichel_MinnesotaHistoryCenter_cropped.jpg	138.0286	17.6180
Ichel_MoosTower_cropped.jpg	137.2247	59.9540	cielab_Ichel_MoosTower_cropped.jpg	138.0286	17.6180
Ichel_NorthropAuditorium_cropped.jpg	164.5172	55.1860	cielab_Ichel_NorthropAuditorium_cropped.jpg	138.0286	17.6180
