-002unionterminal.jpg20140619_cropped.jpg,0e7953b8-5fe0dfb3-2_cropped.jpg,1000s_cropped.jpg,110705395-kansas-city-mo-city-hall_cropped.jpg,134819466_cropped.jpg,1510241520_30ca1e1e45_c_cropped.jpg,18067587124_fb0c31a448_b_cropped.jpg,20170320_124458_cropped.jpg,2018-04-09-hks_cropped.jpg,20220509_184649-scaled (1)_cropped.jpg,32ABGFL6ZNHB7D4C5244RSWIAM_cropped.jpg,3592280035_78522fa927_b_cropped.jpg,80_cropped.jpg,9FzbFtis_cropped.jpg,Buchanan_ComoConservatory_cropped.jpg,Buchanan_Fairgrounds_cropped.jpg,Buchanan_JamesJHillHouse_cropped.jpg,Buchanan_NYLifeEagle_cropped.jpg,Buchanan_StThomasCathedral_cropped.jpg,Detroit-GAR-Building-5_cropped.jpg,Dreamchaser-Ottawa-Ave-Hunt_cropped.jpg,EnmXcUIW4AUweaQ_cropped.jpg,"Fleming_Administration_Building,_Ann_Arbor_cropped.jpg",Free-Stamp_cropped.jpg,IMG_3018-scaled_cropped.jpg,Ichel_EcolabBuilding_cropped.jpg,Ichel_GoldMedalFlourBuilding_cropped.jpg,Ichel_GoldMedalParkSign_cropped.jpg,Ichel_GuthrieTheater_cropped.jpg,Ichel_HennepinCountyGovernmentCenter_cropped.jpg,Ichel_LandmarkCenter_cropped.jpg,Ichel_MinneapolisCourthouse_cropped.jpg,Ichel_MinnesotaHistoryCenter_cropped.jpg,Ichel_MoosTower_cropped.jpg,Ichel_NorthropAuditorium_cropped.jpg,Ichel_Ordway_cropped.jpg,Ichel_PrinceMural_cropped.jpg,Ichel_ScienceMuseum_cropped.jpg,Ichel_StPaulCathedral_cropped.jpg,Ichel_StPaulLibrary_cropped.jpg,Ichel_StoneArchBridge_cropped.jpg,Ichel_UptownLargeChairs_cropped.jpg,Ichel_WeismanArtMuseum_cropped.jpg,Ichel_XcelEnergyCenter_cropped.jpg,Indiana-Landmarks-Center-Indianapolis_cropped.jpg,Marquette_Building_Detroit_MI_cropped.jpg,"Oakland_City_Hall_(Oakland,_CA)_2_cropped.jpg",Projects_HealthyLiving_hero_cropped.jpg,STP_ALEXANDERRAMSEYHOUSE_cropped.jpg,STP_ALLIANZFIELD_cropped.jpg,STP_BELLMUSEUM_cropped.jpg,STP_CAPITOLBUILDING_cropped.jpg,STP_CATHEDRAL_cropped.jpg,STP_CHURCHOFTHEASSUMPTION_cropped.jpg,STP_COSSETTAS_cropped.jpg,STP_FARMERSMARKET_cropped.jpg,STP_FITZGERALDTHEATER_cropped.jpg,STP_FORTSNELLING2_cropped.jpg,STP_GIBBSFARM_cropped.jpg,STP_GOVERNORSRESIDENCE_cropped.jpg,STP_GRANDSTAND_cropped.jpg,STP_GREENLINE_cropped.jpg,STP_HAMLINEUNIVERSITY_cropped.jpg,STP_HARRIETISLANDPAVILION_cropped.jpg,STP_HIGHBRIDGE_cropped.jpg,STP_IRVINEPARK_cropped.jpg,STP_LARGEGREENCHAIR_cropped.jpg,STP_MANATTANBUILDING_cropped.jpg,STP_METROPOLITANSTATEUNIVERSITY_cropped.jpg,STP_MINNESOTABUILDING_cropped.jpg,STP_NINASCOFFEE_cropped.jpg,STP_PALACETHEATER_cropped.jpg,STP_PHALENREGIONALPARK_cropped.jpg,STP_QUADRIGA_cropped.jpg,STP_RAMSAYCOUNTYCOURTHOUSE_cropped.jpg,STP_RAMSEYCOUNTYCOURTHOUSESTATUE_cropped.jpg,STP_RASPBERRYISLAND_cropped.jpg,STP_STASSENBUILDING_cropped.jpg,STP_STATEFAIRFERRISWHEEL_cropped.jpg,STP_STPAULBREWING_cropped.jpg,STP_STPAULCOLLEGE_cropped.jpg,STP_STPAULPOLICEDEPARTMENT_cropped.jpg,STP_STTHOMAS_cropped.jpg,STP_SUMMITAVENUE_cropped.jpg,STP_TOWNSQUARETOWER_cropped.jpg,STP_UNIONDEPOTEXTERIOR_cropped.jpg,STP_UNIONDEPOTINTERIOR_cropped.jpg,STP_VIETNAMVETERANSMEMORIAL_cropped.jpg,STP_WABASHASTREETBRIDGE_cropped.jpg,STP_WELLSFARGOBUILDING2_cropped.jpg,StateTheatreAnnArborMarquee_cropped.jpg,State_Office_Building_Burlington_Vermont_cropped.jpg,Sullivan_250_Marquette_cropped.jpg,Sullivan_430OakGrove_cropped.jpg,Sullivan_5th_Street_Toewrs_cropped.jpg,Sullivan_ATT_Tower_cropped.jpg,Sullivan_Basillica_cropped.jpg,Sullivan_BrittsPub_cropped.jpg,Sullivan_ChicagoLiquior_cropped.jpg,Sullivan_Daytons_cropped.jpg,Sullivan_FarmersMarketChicken_cropped.jpg,Sullivan_FarmersMarketMural_cropped.jpg,Sullivan_Foshay_Enterance_cropped.jpg,Sullivan_HennepinTheater_cropped.jpg,Sullivan_LoringBridge_cropped.jpg,Sullivan_LoringGreenwayEnterance_cropped.jpg,Sullivan_LoringPark1_cropped.jpg,Sullivan_LoringPark2_cropped.jpg,Sullivan_LoringPark3_cropped.jpg,Sullivan_MPLS_WholeFoods_cropped.jpg,Sullivan_Mackenzie_cropped.jpg,Sullivan_Marquette_Cancer_Survivor_Statue_cropped.jpg,Sullivan_MaryTylerMoore_cropped.jpg,Sullivan_MidtownMarket_cropped.jpg,Sullivan_MusicMural_cropped.jpg,Sullivan_NicolletCaribou_cropped.jpg,Sullivan_NicolletGlobe1_cropped.jpg,Sullivan_NicolletGlobe2_cropped.jpg,Sullivan_NicolletSkyway_cropped.jpg,Sullivan_NicolletStation_cropped.jpg,Sullivan_OrangeLineSign_cropped.jpg,Sullivan_Orpheium_cropped.jpg,Sullivan_PeavyClock_cropped.jpg,Sullivan_RBC_Gateway_cropped.jpg,Sullivan_SculptureGarden10_cropped.jpg,Sullivan_SculptureGarden11_cropped.jpg,Sullivan_SculptureGarden12_cropped.jpg,Sullivan_SculptureGarden1_cropped.jpg,Sullivan_SculptureGarden2_cropped.jpg,Sullivan_SculptureGarden3_cropped.jpg,Sullivan_SculptureGarden4_cropped.jpg,Sullivan_SculptureGarden5_cropped.jpg,Sullivan_SculptureGarden6_cropped.jpg,Sullivan_SculptureGarden7_cropped.jpg,Sullivan_SculptureGarden9_cropped.jpg,Sullivan_SculptureGardenCherrySpoon_cropped.jpg,Sullivan_Skyway_cropped.jpg,Sullivan_SooLineBuilding_cropped.jpg,Sullivan_StThomas_cropped.jpg,Sullivan_Target_cropped.jpg,Sullivan_TheNewsRoom_cropped.jpg,Sullivan_ThirdPrecinct_cropped.jpg,Sullivan_UptownCrown_cropped.jpg,Sullivan_WCCO_cropped.jpg,Sullivan_WellsFargoCenter_cropped.jpg,VT-01-RU40-001_cropped.jpg,"Wells_Fargo_Center,_Sacramento,_CA_cropped.jpg",Wiegers_Kathryn_3_cropped.jpg,cincyobservatory_thornton013_cropped.jpg,clock-tower-michigan-state-university-campus_cropped.jpg,dom.NWS_.WoodyAllenMural.3.26.21_cropped.jpg,iphone-pix-246_cropped.jpg,jpeg_large_202112291737_cropped.jpg,large_cropped.jpg,liberty-memorial008_cropped.jpg,roadsidelandmarks1-1_cropped.jpg,pooled
49,252,170,0,127,1548,19,675,8,476,5,2,48,943,6,13,290,463,62,2,508,280,1215,549,84,0,1121,167,1475,578,351,1328,28,786,30,968,0,48,3,388,634,153,443,1,85,4,190,11,100,436,14,3,298,496,105,0,41,0,3,166,0,151,0,10,18,67,2067,113,909,186,85,971,283,771,297,4614,2293,184,376,555,50,3265,172,17,183,16,33,19,0,200,303,1,97,873,846,433,113,1410,0,530,231,0,0,2033,95,544,346,404,2,1785,1640,33,361,58,904,1397,1064,421,4,2591,807,2635,190,49,195,34,7,0,491,27,106,42,26,16,249,109,525,2367,59,632,3636,214,392,1852,1773,45,3,9,91,21,33,189,3,1780,0,0,469.73717948718
313,618,346,1,687,3622,45,2253,82,1894,15,6,56,2492,50,58,1469,719,251,14,486,1285,1792,755,223,0,1328,189,3840,448,385,2045,66,1299,85,1287,1,42,31,455,1237,471,665,0,233,5,288,41,160,700,37,10,706,745,202,1,122,0,9,1079,13,310,0,47,231,124,2993,266,1447,871,181,13503,539,629,560,12231,1973,137,815,1332,106,4782,230,57,499,521,431,15,3,488,58513,2,241,1504,863,720,106,2033,0,536,424,1,0,4644,495,881,614,925,4,2303,6659,113,507,90,1516,3327,1379,641,35,4628,1161,5525,480,68,480,540,41,0,473,24,112,52,145,52,475,374,915,2655,129,1160,5178,301,690,2289,3431,90,9,13,167,76,86,673,15,2404,0,0,1327.33974358974
1085,583,278,0,921,4389,48,2412,98,1272,8,5,66,2106,42,88,2961,841,587,30,421,1646,1602,615,451,0,876,243,1668,289,201,1209,66,1686,104,1557,3,42,32,384,1258,702,699,0,291,3,377,11,143,760,59,12,656,896,283,1,186,5,10,889,8,386,2,88,280,101,2098,230,1010,743,258,5035,729,361,491,9686,1193,103,749,1027,106,4164,202,67,323,421,683,18,0,493,20109,4,218,1088,850,490,58,1559,0,580,567,0,1,4110,865,779,485,1255,19,1945,2921,127,366,99,1194,5366,1111,521,21,3521,886,3582,532,67,1161,766,101,1,413,23,105,64,262,129,587,344,715,2430,132,838,3758,256,847,2115,2473,94,24,22,132,117,86,458,20,2068,0,0,929.794871794872
1680,763,451,0,846,5327,73,2970,106,1849,16,13,150,3037,63,65,1571,1334,1250,43,490,1282,1537,686,3406,0,873,331,2340,367,221,1390,67,1105,105,1374,5,70,34,374,1167,631,447,1,349,18,288,23,158,1514,79,17,600,1267,608,4,365,6,16,784,22,1603,1,88,371,166,2453,214,883,707,284,3447,1092,303,639,8754,1224,151,959,914,127,2690,215,101,351,377,766,18,4,493,16577,3,226,1311,967,462,77,1124,1,958,703,0,0,3751,946,705,527,1045,23,1767,2222,110,462,97,846,3759,1044,522,29,4143,882,3748,658,90,609,1102,105,0,425,24,162,67,375,143,611,306,794,2218,196,787,2027,338,1404,1355,2422,129,50,51,150,156,111,526,24,2017,0,0,922.384615384615
2231,1389,794,0,750,4765,98,2751,130,1996,32,9,208,3878,68,77,1652,1509,1888,34,433,1102,1505,709,5911,0,722,415,2127,294,244,1156,59,860,150,1151,2,88,29,403,1059,593,317,3,525,18,388,28,176,1649,302,29,606,1045,1211,3,678,10,25,758,20,994,6,91,432,215,2431,313,845,662,323,2766,1334,422,697,6097,942,118,1121,944,190,2731,237,164,362,481,885,34,2,429,11236,18,327,1209,963,520,86,1004,0,1694,998,0,0,3443,1073,773,558,1040,40,1660,1432,113,456,136,661,3051,996,516,35,4209,984,3126,746,132,516,3379,142,1,512,39,219,117,452,164,749,329,1007,2266,286,694,1693,393,1787,1022,2056,179,91,83,189,188,101,659,35,1752,0,0,908.108974358974
2193,1246,934,0,576,4170,127,2996,119,1336,28,15,332,4306,65,100,718,1689,1546,59,477,1019,1369,693,9954,0,623,487,3298,304,211,1192,78,714,153,1223,7,124,46,412,927,541,297,7,608,25,378,41,201,2355,536,61,676,944,1722,4,937,14,49,829,34,1055,7,102,374,261,2729,299,808,744,466,2970,1398,504,908,5605,869,143,1340,845,326,2206,269,157,412,612,1043,41,5,405,11520,39,328,1090,762,469,89,999,4,1774,1197,0,0,3098,1137,834,692,1223,50,1414,1476,136,550,131,503,2952,1118,555,32,3048,1047,2786,840,183,430,5802,174,1,540,34,238,530,281,145,857,324,1061,2562,326,688,1853,396,1911,953,1698,238,137,133,158,191,137,825,50,1816,0,0,958.929487179487
2001,1394,2492,1,514,4220,134,2939,126,1439,40,18,465,5968,106,120,681,2630,1407,108,336,938,1622,698,8824,0,716,516,3148,403,222,1127,100,886,165,1180,9,201,69,451,926,658,231,12,697,56,363,40,251,3892,1346,157,692,1178,2619,4,1203,14,84,798,37,1353,26,118,456,364,3238,417,833,726,534,2503,1520,590,1206,4278,730,155,1497,823,985,1942,290,257,439,601,1171,76,4,351,10445,140,417,1184,917,572,98,1039,1,3196,914,0,1,3099,1113,884,624,1139,77,1306,1393,151,594,134,511,2402,1153,633,42,3389,1334,2989,1116,237,401,10006,217,11,626,42,290,1245,531,202,1000,546,1184,2760,475,745,1526,618,2561,994,1476,551,343,196,146,287,163,1061,73,1881,0,0,1067.66666666667
2179,1244,1943,0,598,3733,152,2673,178,1335,65,20,532,4966,98,164,740,1877,1344,188,288,920,1680,854,5182,0,619,359,2034,322,195,938,106,823,217,1001,16,282,102,532,884,669,233,48,826,60,439,73,297,3516,1666,292,633,1286,2725,10,1256,24,118,909,44,1229,43,143,416,425,3011,448,717,707,667,2556,1682,660,1452,3954,637,165,1237,872,1443,1814,321,310,453,703,1356,99,10,309,13700,482,471,1020,788,496,115,964,1,2264,676,0,2,2561,1041,946,739,1233,98,1227,1102,175,548,153,365,2516,1187,574,56,2553,1330,2681,1090,384,307,7042,266,13,597,47,381,932,585,170,1038,602,1050,2102,569,629,1597,621,2376,874,1174,530,479,203,156,353,223,1100,109,1679,0,0,998
1922,1287,2951,6,490,3664,169,3175,202,2101,175,33,709,7272,106,187,786,1862,981,285,352,914,1521,901,5667,0,619,286,2163,404,192,1090,96,824,220,1014,29,339,181,532,838,632,212,97,889,87,397,93,382,5997,1233,501,661,1241,3170,11,1248,20,188,885,92,1682,108,183,433,483,3483,491,705,762,812,2264,1910,653,1670,4317,669,203,1224,915,1314,1608,322,337,522,805,1471,505,21,265,12364,789,477,938,777,633,124,948,1,2068,840,0,2,2406,872,1031,794,1087,142,1039,1190,151,675,161,360,2238,1280,614,59,2781,1391,2736,1284,366,272,5862,340,16,679,56,363,1058,450,185,1004,500,1076,1915,611,656,1401,666,2587,955,1293,474,829,259,155,396,254,1144,172,1597,0,0,1054.87820512821
1806,1030,3302,14,527,3159,187,2919,233,1819,286,44,646,10958,125,224,659,1501,976,394,259,928,1549,1100,5827,0,548,276,2020,346,154,828,146,903,240,803,26,509,194,489,740,647,173,152,842,131,348,116,391,4496,954,792,638,1466,2872,15,1123,36,250,955,99,1455,147,172,427,471,3009,620,635,721,842,2209,1663,658,1736,3135,535,207,1024,947,778,1410,297,445,521,695,1242,517,24,285,9166,672,600,874,716,616,112,817,3,1892,1062,0,3,1884,871,993,813,1130,194,986,958,189,595,156,278,1639,1197,553,59,2265,1809,2275,1638,372,240,6270,451,27,659,138,330,1397,617,204,1010,446,1036,1707,711,594,1215,707,2384,784,934,418,784,243,155,462,206,1104,170,1564,0,1,1002.38461538462
