-002unionterminal.jpg20140619_cropped.jpg,1000s_cropped.jpg,1200px-Old_State_House_(croppe_cropped.jpg,16081493946_c07e0cc4c3_h_cropped.jpg,20170320_124458_cropped.jpg,2021-review-Delicate-Arch-1_cropped.jpg,20220509_184649-scaled (1)_cropped.jpg,9FzbFtis_cropped.jpg,"Alabama_State_Capitol,_Montgom_cropped.jpg",AtlantaFoxTheatre2-scaled_cropped.jpg,Cinderella_Castle_October_1_cropped.jpg,Document_cropped.jpg,EnmXcUIW4AUweaQ_cropped.jpg,Fleming_Administration_Buildin_cropped.jpg,IMG_1554-e1539276837754_cropped.jpg,IMG_3018-scaled_cropped.jpg,In_Retrospectspring20_cropped.jpg,Independence-Hall-Historical-P_cropped.jpg,Louisiana_State_Capitol_Buildi_cropped.jpg,Marquette_Building_Detroit_MI_cropped.jpg,Nk5L-1.ext.TimothyHursley.8704_cropped.jpg,"Oakland_City_Hall_(Oakland,_CA_cropped.jpg",Projects_HealthyLiving_hero_cropped.jpg,SD-BikeMickelson_082719_0429e2_cropped.jpg,StateTheatreAnnArborMarquee_cropped.jpg,gettyimages-461049221a-1515707_cropped.jpg,large_cropped.jpg,monument_cropped.jpg,outside-you-actually_cropped.jpg,photo1jpg_cropped.jpg,twaincoverhouse_standard_cropped.jpg,pooled
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0645161290322581
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.032258064516129
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0967741935483871
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032258064516129
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0967741935483871
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0967741935483871
0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161290322580645
0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.129032258064516
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0967741935483871
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.193548387096774
0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0.32258064516129
0,0,0,1,0,0,0,0,1,1,3,1,0,0,2,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0.483870967741935
0,1,0,0,0,1,0,0,0,0,2,1,0,0,1,1,2,0,0,1,0,0,0,1,1,0,0,0,2,0,1,0.483870967741935
0,0,0,1,2,2,1,0,0,0,2,1,1,3,1,0,0,0,1,0,2,2,2,2,0,0,0,0,2,1,1,0.870967741935484
1,1,0,3,0,1,1,0,0,2,3,2,2,1,0,0,2,0,0,1,0,0,0,1,1,2,0,0,2,1,1,0.903225806451613
1,2,0,2,1,1,1,0,3,1,1,0,1,0,2,0,2,0,5,0,0,1,1,1,2,0,0,0,4,1,1,1.09677419354839
1,1,0,1,0,0,0,0,1,1,2,2,0,2,4,1,1,0,1,6,1,3,1,2,1,1,0,1,1,1,0,1.16129032258065
1,0,2,4,3,1,0,0,2,3,4,0,0,3,3,0,3,0,2,1,1,1,1,2,0,1,4,1,1,5,2,1.64516129032258
0,2,2,2,0,1,0,0,2,0,3,2,0,1,1,0,1,1,3,4,5,1,0,1,3,6,3,1,1,2,0,1.54838709677419
1,4,2,1,2,2,1,2,0,2,2,3,0,4,0,4,1,0,6,0,1,1,2,2,0,3,2,2,4,2,1,1.83870967741935
3,2,2,2,0,2,4,0,1,0,1,4,1,2,6,5,2,1,2,5,0,2,4,5,0,2,2,3,1,3,1,2.19354838709677
4,3,6,5,3,3,11,0,7,1,5,2,0,1,5,4,2,1,5,4,2,1,3,2,2,1,0,4,4,4,2,3.12903225806452
0,4,6,7,2,6,6,2,3,0,1,0,0,7,4,5,1,1,5,0,4,3,5,3,0,5,4,2,6,9,0,3.25806451612903
5,5,5,7,5,3,5,4,3,1,8,5,2,4,9,5,5,2,5,5,5,1,7,3,0,7,7,2,6,3,2,4.38709677419355
5,8,3,6,7,6,2,7,1,1,6,6,6,5,5,5,8,5,7,4,3,4,9,0,8,5,2,3,2,4,2,4.67741935483871
5,4,6,6,3,9,1,9,2,9,9,5,14,7,12,5,5,8,9,0,5,5,5,9,8,6,5,6,4,5,4,6.12903225806452
1,6,14,4,15,3,5,8,9,4,8,7,11,4,9,9,7,10,10,2,6,3,5,9,9,1,4,5,8,7,5,6.70967741935484
1,9,4,11,7,6,6,1,12,9,6,4,9,4,11,8,5,8,9,5,7,6,5,7,2,5,5,7,8,9,5,6.48387096774194
10,14,8,8,3,9,9,11,15,13,14,8,11,13,9,5,11,12,17,6,3,11,5,7,14,12,13,8,5,10,10,9.80645161290323
10,13,9,18,10,10,9,13,6,5,12,6,10,10,15,7,10,17,22,7,13,12,3,6,10,8,9,10,10,14,4,10.258064516129
7,8,12,18,13,14,12,17,5,17,8,8,10,20,12,5,10,11,6,13,16,0,6,4,16,12,16,11,8,10,13,10.9032258064516
10,12,13,15,11,13,23,22,14,13,11,4,14,7,13,14,9,15,16,8,9,12,6,1,24,10,16,11,12,18,15,12.6129032258065
12,17,14,17,9,19,12,19,34,16,18,17,7,11,30,19,13,13,14,19,9,16,10,10,23,12,4,13,18,14,9,15.0967741935484
17,13,11,16,22,19,16,0,24,10,20,12,16,7,18,18,24,16,20,20,15,24,18,32,13,11,12,10,19,19,19,16.4838709677419
13,20,7,22,19,15,12,19,22,25,20,18,24,9,16,18,29,17,20,19,20,27,30,29,6,24,26,15,16,21,20,19.2903225806452
33,23,25,21,23,31,10,20,21,22,27,23,15,21,25,34,30,19,35,23,29,22,34,31,34,18,24,22,20,22,23,24.5161290322581
25,20,20,18,27,37,13,33,19,27,42,21,20,29,27,16,26,18,28,31,35,40,16,31,27,25,25,24,18,19,19,25.0322580645161
34,24,31,21,27,33,18,23,38,38,28,32,29,25,28,19,46,23,36,30,45,18,38,25,27,26,30,21,16,26,35,28.7096774193548
46,37,38,31,19,30,31,39,40,24,36,31,27,38,38,37,45,28,34,46,38,47,28,26,38,43,34,26,18,21,38,33.9354838709677
34,34,27,31,32,34,43,46,46,28,48,42,54,18,36,34,42,44,45,28,35,27,31,33,30,38,29,36,34,36,53,36.3870967741936
37,44,43,29,31,33,27,1,40,53,36,56,56,44,54,45,49,44,49,52,36,41,38,48,9,35,37,36,37,31,36,38.9354838709677
84,57,57,29,59,37,71,56,42,64,50,48,37,45,44,39,72,29,47,39,44,50,38,50,31,50,53,33,62,67,41,49.1935483870968
53,58,61,33,25,63,72,37,48,62,54,54,50,65,60,46,68,40,64,58,50,51,70,73,64,47,56,35,61,59,63,54.8387096774194
66,54,47,49,85,61,75,67,58,75,80,79,71,66,78,55,66,70,76,61,56,54,40,72,56,50,76,45,73,60,66,64.0967741935484
57,69,77,53,90,71,89,86,59,79,77,76,72,85,62,48,90,67,68,70,74,36,80,85,94,89,66,46,82,72,79,72.5161290322581
71,89,89,66,114,107,94,102,81,73,77,55,83,92,93,40,109,67,80,107,86,95,89,79,93,64,104,64,95,95,77,84.8387096774194
105,102,61,92,89,85,82,120,98,70,99,124,92,77,72,40,119,108,99,66,71,105,89,74,104,119,69,100,103,94,90,90.9032258064516
102,118,101,99,114,131,106,156,99,110,83,115,102,85,129,79,140,146,150,102,103,89,144,95,104,117,95,107,124,111,126,112.322580645161
90,110,120,97,120,137,100,3,107,144,115,141,118,108,99,80,150,132,142,114,103,135,105,111,38,113,104,133,124,95,134,110.387096774194
133,140,153,125,143,134,140,154,142,163,148,144,108,142,135,145,151,144,169,185,143,134,135,137,158,153,153,116,165,126,150,144.129032258065
119,167,168,135,152,152,152,167,126,155,169,182,143,150,176,152,209,180,164,156,134,211,145,175,227,174,185,157,144,136,141,161.387096774194
177,172,148,148,165,224,143,185,180,168,182,216,174,175,141,204,208,214,222,187,185,145,165,176,173,174,157,196,166,145,184,177.387096774194
170,213,187,181,178,202,218,167,206,189,209,252,279,194,193,186,214,243,226,217,217,159,142,221,175,197,193,205,193,215,235,202.451612903226
220,233,259,202,242,254,241,174,269,210,238,241,239,326,239,304,247,233,236,324,261,244,179,287,215,233,232,230,228,231,160,239.709677419355
266,266,268,192,274,235,257,275,249,221,247,273,247,271,239,248,338,243,289,244,245,232,228,276,260,266,217,239,235,287,192,252.225806451613
278,307,259,268,299,296,301,264,256,278,304,300,280,321,196,125,323,250,312,238,285,260,327,301,349,301,289,254,293,296,244,279.161290322581
325,297,303,313,250,346,190,79,319,344,309,397,376,219,297,301,349,280,353,298,342,331,311,301,343,353,287,303,341,276,306,304.483870967742
233,440,350,314,332,355,439,371,367,388,364,416,342,325,368,389,427,302,383,382,373,330,403,407,168,315,372,380,381,367,357,359.354838709677
392,460,461,392,390,412,445,514,430,442,416,367,383,409,375,436,468,392,453,403,335,518,450,403,419,437,437,434,409,397,426,422.741935483871
509,487,478,387,431,468,510,606,413,443,509,486,462,473,425,582,562,459,510,464,421,382,443,460,478,435,415,459,460,445,456,468.322580645161
559,518,530,458,503,593,590,590,458,502,534,522,532,640,552,455,566,494,623,485,538,476,490,532,517,471,516,509,570,514,509,527.290322580645
