img,meanLum,sdLum
"Akron Canal Park.jpg",137.505114285714,23.3114829890808
"Alabama State Capitol.jpg",137.531887755102,23.1270758253675
"Angel Hall Ann Arbor.jpg",137.51282244898,23.1552226857273
"Ann Arbor Mural.jpg",137.41862244898,23.1375572886601
"Baxter Arena.jpg",137.516444897959,23.2556867518468
"Carroll Building,Connecticut.jpg",137.495616326531,23.2120583803504
"Charles Schwab Field.jpg",137.517126530612,23.1394615795648
"Chez Olga.jpg",137.480953061224,23.089009587783
"Children’s Museum Of Indianapolis.jpg",137.52342244898,23.2639929882261
"Cincinnati Eden Park.jpg",137.518236734694,23.214061143377
"Cincinnati Music Hall.jpg",137.478608163265,23.1763448972759
"Cincinnati Observatory.jpg",137.504524489796,23.1982087613047
"City Hall Oakland.jpg",137.551304081633,23.118150050745
"Cleveland Metropark.jpg",137.509426530612,23.1000534701588
"Depew Memorial Fountain.jpg",137.50523877551,23.1399631590936
"Desert Dome.jpg",137.500712244898,23.1138998621965
"Farmington Mall.jpg",137.516536734694,23.1468975310281
"First National Building Ann Arbor.jpg",137.492595918367,23.2933485792987
"Fleming Administration Building.jpg",137.506797959184,23.1408415945946
"Fox Theatre.jpg",137.505016326531,23.1556254755297
"Grand River Railroad Lansing.jpg",137.505010204082,23.2125314370101
"Healthy Living Supermarket South Burlington.jpg",137.535348979592,23.1657977886438
"Huntoon Park.jpg",137.510632653061,23.1196794256021
"Independence Hall.jpg",137.485608163265,23.0813051176977
"Indiana Landmarks Center.jpg",137.521916326531,23.2875123162332
"Jack Brickhouse Statue.jpg",137.521353061224,23.1446328499949
"Jazz Trio.jpg",137.508879591837,23.291454654623
"John J Zampieri State Office.jpg",137.49377755102,23.1890182941062
"Joslyn Castle.jpg",137.514536734694,23.1381947003103
"Kauffman Center.jpg",137.464297959184,23.1017208224002
"Lake Mead.jpg",137.502157142857,23.2765580473232
"Lewis And Clark Landing.jpg",137.473326530612,23.3089107677534
"Literati Bookstore.jpg",137.494540816327,23.2118186555762
"Lola Bar Cleveland.jpg",137.481920408163,23.1570643266887
"Longaberger Basket Newark, Ohio.jpg",137.523793877551,23.142810078752
"Louisiana State Capitol.jpg",137.488406122449,23.2566342580042
"Mural, Salina.jpg",137.515689795918,23.2123930383103
"Nichols Arboretum.jpg",137.500516326531,23.0654775991364
"Office Of Tourism Carson City, Nevada.jpg",137.512230612245,23.157681614511
"Old State House.jpg",137.50882244898,23.159014107023
"Pat’s Steaks.jpg",137.435816326531,23.2452817869352
"Philadelphia City Hall.jpg",137.508987755102,23.2918193757487
"Pioneer Courage Statue.jpg",137.503026530612,23.2539905511806
"Pro Medica Headquarters Toledo, Ohio.jpg",137.504328571429,23.1760229203875
"Reverence Statue South Burlington, Vermont.jpg",137.463004081633,23.1086998962265
"Ryman Auditorium.jpg",137.496287755102,23.1712423476499
"Sarah Porter Memorial Farmington.jpg",137.521465306122,23.2453309873192
"State Theatre Ann Arbor Marquee.jpg",137.241473469388,22.8201797725017
"Strategic Air Command And Aerospace Museum.jpg",137.460051020408,23.20930082737
"Street Mural Rutlant,Vermont.jpg",137.478893877551,23.3478968034348
"Suzzallo Library.jpg",137.490971428571,23.3097880841014
"Texas Capitol.jpg",137.535683673469,23.2283165541706
"The Quad.jpg",137.61136122449,23.289078256226
"The Rose Theatre.jpg",137.509742857143,23.3462809819675
"Toledo Bridge.jpg",137.451418367347,23.2272833729258
"Travelers Tower Hartford,Ct.jpg",137.446667346939,23.1655707875682
"University Of Washington.jpg",137.59213877551,23.1955642363355
"Uno Clock Tower Nebraska.jpg",137.514434693878,23.0843170503359
"Vulcan At The Forge Statue Birmingham.jpg",137.43586122449,23.0963407405855
"Willard Park Cleveland.jpg",137.499563265306,23.2559764496266
