Buchanan_ComoConservatory_cropped.jpg,Buchanan_Fairgrounds_cropped.jpg,Buchanan_JamesJHillHouse_cropped.jpg,Buchanan_NYLifeEagle_cropped.jpg,Buchanan_StThomasCathedral_cropped.jpg,Ichel_EcolabBuilding_cropped.jpg,Ichel_MinnesotaHistoryCenter_cropped.jpg,Ichel_Ordway_cropped.jpg,Ichel_ScienceMuseum_cropped.jpg,Ichel_StPaulCathedral_cropped.jpg,Ichel_StPaulLibrary_cropped.jpg,Ichel_XcelEnergyCenter_cropped.jpg,pooled
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,0,0,0,0.166666666666667
0,0,0,0,0,1,0,0,0,0,0,0,0.0833333333333333
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,1,0.166666666666667
0,0,0,0,0,1,0,0,0,0,0,0,0.0833333333333333
0,0,0,0,2,0,0,0,0,0,0,0,0.166666666666667
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,1,0,1,0,0,1,1,0.5
0,0,0,1,0,0,0,0,0,0,0,0,0.0833333333333333
0,1,3,0,1,2,0,0,1,0,1,1,0.833333333333333
0,1,4,0,0,0,0,0,0,1,0,0,0.5
0,0,3,2,5,4,0,0,1,0,0,1,1.33333333333333
1,1,4,1,4,5,0,1,8,0,2,0,2.25
0,3,6,4,4,3,0,1,1,2,1,3,2.33333333333333
1,0,10,6,3,6,0,5,0,3,4,1,3.25
6,3,6,8,5,8,4,2,2,2,4,3,4.41666666666667
6,10,12,7,6,6,3,3,3,2,9,2,5.75
6,2,7,8,8,13,10,9,7,9,7,11,8.08333333333333
9,12,8,7,12,14,0,7,5,12,9,13,9
9,13,18,11,16,12,13,9,10,11,14,17,12.75
15,15,23,24,26,26,11,24,18,7,13,10,17.6666666666667
18,36,20,28,25,30,17,22,24,11,20,22,22.75
29,51,24,38,29,30,23,27,18,32,23,14,28.1666666666667
34,24,29,34,25,44,21,26,48,42,17,23,30.5833333333333
32,34,30,34,25,37,47,21,46,40,41,22,34.0833333333333
43,39,37,41,66,32,36,37,59,48,27,42,42.25
48,57,40,40,61,41,58,32,54,61,39,34,47.0833333333333
72,60,50,52,53,54,59,45,63,56,52,46,55.1666666666667
76,57,69,52,76,56,71,47,73,66,45,57,62.0833333333333
89,64,90,70,86,72,85,63,97,40,71,46,72.75
104,65,83,84,91,118,100,73,112,82,75,85,89.3333333333333
113,94,98,87,107,105,109,73,91,100,111,92,98.3333333333333
90,110,105,112,126,99,92,146,99,121,116,111,110.583333333333
127,106,114,148,126,133,138,151,132,105,154,122,129.666666666667
118,114,154,175,138,156,180,170,129,128,231,152,153.75
157,150,170,177,154,154,129,144,207,181,136,173,161
200,187,195,140,160,217,211,218,172,236,213,134,190.25
257,197,216,234,181,241,244,194,175,248,231,210,219
290,200,248,277,212,216,260,224,213,276,129,208,229.416666666667
268,236,256,253,301,237,226,219,232,276,284,244,252.666666666667
359,278,369,345,319,295,366,325,256,301,410,232,321.25
380,317,299,371,352,280,361,384,255,272,428,306,333.75
324,327,325,314,266,311,315,391,305,362,193,301,311.166666666667
360,366,367,351,386,340,405,447,316,389,373,370,372.5
358,388,389,322,426,413,446,437,412,425,517,388,410.083333333333
424,436,305,374,453,421,461,460,337,374,494,454,416.083333333333
466,479,420,476,523,482,487,470,513,539,494,450,483.25
520,505,477,412,565,510,541,384,489,486,460,585,494.5
519,629,556,522,563,545,602,636,530,625,762,529,584.833333333333
541,653,549,628,611,548,583,675,526,591,744,541,599.166666666667
599,716,701,656,539,599,614,610,613,656,569,592,622
703,724,815,672,703,713,642,764,672,670,688,756,710.166666666667
758,787,890,859,814,723,730,879,786,866,729,739,796.666666666667
878,883,611,924,848,758,785,932,782,807,697,780,807.083333333333
914,896,961,852,805,914,895,995,902,945,836,858,897.75
1102,976,1051,1070,982,1015,937,691,1038,1047,1035,929,989.416666666667
1281,1104,1318,1162,1149,1107,1061,1245,1224,1143,1257,1163,1184.5
1418,1292,1256,1474,1462,1183,1352,1608,1233,1257,1514,1214,1355.25
1641,1477,1600,1600,1593,1531,1469,1733,1572,1563,1569,1510,1571.5
1677,1744,1786,1736,1937,1570,1707,1773,1486,1595,1867,1785,1721.91666666667
1999,1887,2168,1864,1699,1702,1987,1424,1905,2026,1941,1941,1878.58333333333
2318,2011,2549,1971,2040,2125,2234,2356,2093,2006,2080,2278,2171.75
2520,2431,2667,2492,2314,2392,2557,2591,2528,2546,2398,2553,2499.08333333333
2801,2984,2815,2806,2724,2790,2725,2988,2950,2516,2548,2589,2769.66666666667
2913,2902,2279,3016,2929,3140,3132,3300,2872,2926,2901,2945,2937.91666666667
3293,3208,2996,3249,3304,3275,3527,2595,3379,3393,3538,3232,3249.08333333333
