Image,City,HasWindows,Reject,Flag,meanLum,sdLum,colorspace,Notes
Alabama State Capitol.jpg,ctl,True,False,False,137.383810650888,22.800096504771,cielab,
Ann Arbor.jpg,ctl,True,False,False,137.277017751479,22.8336283634969,cielab,
Arbor Blu.jpg,ctl,True,False,False,137.339990532544,23.0175752618477,cielab,
Blue Rapids.jpg,ctl,False,False,False,137.401550295858,23.0113029075259,cielab,
Capital City Market.jpg,ctl,False,True,False,137.342577514793,22.8929372676604,cielab,
Cathedral Basilica.jpg,ctl,True,False,False,137.391886390533,22.8075947377104,cielab,
Chez Olga.jpg,ctl,True,False,False,137.332392899408,22.7473015017454,cielab,
Children’s Museum Of Indianapolis.jpg,ctl,False,False,False,137.37293964497,23.0593637820527,cielab,
Cincinnati Observatory.jpg,ctl,True,False,False,137.361921893491,22.9376299596169,cielab,
Cinderella Castle.jpg,ctl,False,False,False,137.36906035503,22.8935633008099,cielab,
Crazy Horse.jpg,ctl,False,False,False,137.2956,22.870055314919,cielab,
Delicate Arch.jpg,ctl,False,False,False,137.349808284024,22.8128836449917,cielab,
Depew Memorial Fountain.jpg,ctl,False,False,True,137.348295857988,22.81115773507,cielab,
Devils Tower.jpg,ctl,False,False,False,137.385919526627,22.7985224495422,cielab,
Downtown Burlington.jpg,ctl,True,False,False,137.336968047337,22.8103804458709,cielab,
Downtown Salina.jpg,ctl,False,False,False,137.372241420118,22.8450943472211,cielab,
Duke Paoa Kahanamoku Statue.jpg,ctl,False,False,False,137.312049704142,22.8011707399494,cielab,
Fleming Administration Building.jpg,ctl,True,False,False,137.363547928994,22.8263975910822,cielab,
Fox Theatre.jpg,ctl,True,False,False,137.361474556213,22.8278063348709,cielab,
Franklin Institute.jpg,ctl,False,False,False,137.367711242604,23.0385483556485,cielab,
Fremont Troll.jpg,ctl,False,False,False,137.314920710059,23.0962073548266,cielab,
Governor’s Palace.jpg,ctl,True,False,False,137.353095857988,22.9131882181635,cielab,
Grand Army Of The Republic Building.jpg,ctl,False,False,False,137.369100591716,22.8326370585846,cielab,
Heritage Park.jpg,ctl,False,False,False,137.385368047337,22.7787683322511,cielab,
Hoover Dam.jpg,ctl,False,False,False,137.345626035503,22.7923270732239,cielab,
Huntoon Park.jpg,ctl,False,False,False,137.35495147929,22.8005414651529,cielab,
Independence Hall.jpg,ctl,True,False,False,137.343346745562,22.7712792606423,cielab,
Indiana Landmarks Center.jpg,ctl,True,False,False,137.38975147929,22.9426425340917,cielab,
John J Zampieri State Office.jpg,ctl,True,False,False,137.345678106509,22.894131082171,cielab,
Kansas City Hall.jpg,ctl,True,False,False,137.380911242604,23.0338469270418,cielab,
Kauffman Center.jpg,ctl,False,False,False,137.329124260355,22.7701098908236,cielab,
Lake Mead.jpg,ctl,False,False,False,137.353813017751,22.95368333141,cielab,
Las Vegas Dome.jpg,ctl,False,False,False,137.359919526627,22.7980757247387,cielab,
Las Vegas Sign.jpg,ctl,False,False,False,137.368265088757,22.815507697075,cielab,
Literati Bookstore.jpg,ctl,True,False,False,137.342239053254,22.8783189063516,cielab,
Louisiana State Capitol.jpg,ctl,True,False,False,137.360764497041,22.9444845929916,cielab,
Mark Twain House.jpg,ctl,True,False,False,137.416324260355,22.8600508270297,cielab,
Marquette Building.jpg,ctl,True,False,False,137.33900591716,22.8205819165901,cielab,
Mead Building.jpg,ctl,True,False,False,137.377457988166,23.085827744028,cielab,
Mt Rushmore.jpg,ctl,False,False,False,137.327053254438,22.8242027557379,cielab,
Oakland City Hall.jpg,ctl,True,False,False,137.398975147929,22.7912994380298,cielab,
Old State House.jpg,ctl,True,False,False,137.366487573964,22.8418531926009,cielab,
Palace Of The Governors.jpg,ctl,True,False,False,137.37365443787,22.8957968054214,cielab,
Pat’s Steaks.jpg,ctl,True,False,False,137.2788,22.9204278444325,cielab,
Philadelphia City Hall.jpg,ctl,True,False,False,137.357034319527,22.9702313885815,cielab,
Pike Place Market.jpg,ctl,True,False,False,137.333637869822,22.8499058166766,cielab,
Projects Healthy Living Hero.jpg,ctl,True,False,False,137.379862721893,22.8438725135015,cielab,
Pulp Mill Covered Bridge.jpg,ctl,False,False,False,137.343337278107,23.0048562660399,cielab,
Rock And Roll Hall Of Fame.jpg,ctl,True,False,False,137.324844970414,22.9896085093643,cielab,
Rutland.jpg,ctl,True,False,False,137.329912426035,22.9540084633754,cielab,
Ryman Auditorium.jpg,ctl,True,False,False,137.353784615385,22.8378471507588,cielab,
South Burlington.jpg,ctl,False,False,False,137.306132544379,22.7672219233677,cielab,
State Theatre Ann Arbor Marquee.jpg,ctl,False,True,False,137.104752662722,22.499022035638,cielab,
Suzzallo Library.jpg,ctl,True,False,False,137.341985798817,23.0015747242716,cielab,
Texas Capitol.jpg,ctl,True,False,False,137.40041183432,22.9248565508648,cielab,
The Breakers.jpg,ctl,True,False,False,137.406186982249,22.8545953131608,cielab,
The Quad.jpg,ctl,False,False,False,137.457055621302,22.9314830130279,cielab,
This Is The Place Monument.jpg,ctl,False,False,False,137.397273372781,22.9719375219473,cielab,
Toledo.jpg,ctl,True,False,False,137.359081656805,22.844822287209,cielab,
Tybee Island.jpg,ctl,False,False,True,137.276487573964,22.7570925976317,cielab,
Union Terminal.jpg,ctl,False,False,False,137.334314792899,22.7681159136698,cielab,
University Of Washington.jpg,ctl,True,False,False,137.4584,22.8726545000328,cielab,
Vulcan At The Forge Statue.jpg,ctl,False,False,False,137.287027218935,22.7855093314574,cielab,
Wells Fargo Center.jpg,ctl,True,False,False,137.36539408284,22.8544519416843,cielab,
Wesley Street.jpg,ctl,False,False,False,137.29595739645,22.8387736795123,cielab,
Willard Park.jpg,ctl,False,False,False,137.358274556213,22.918471329907,cielab,
250 Marquette.jpg,msp,True,False,False,137.381292307692,22.7947550976771,cielab,
430 Oak Grove.jpg,msp,True,False,False,137.406776331361,22.8130483372206,cielab,
5Th Street Towers.jpg,msp,True,False,False,137.351318343195,22.8260511979527,cielab,
Acadia Cafe.jpg,msp,True,False,False,137.333711242604,22.8452660822475,cielab,
American Swedish Institute.jpg,msp,True,False,False,137.351824852071,22.8031070572151,cielab,
Amill Artist Lofts.jpg,msp,True,False,False,137.388210650888,22.8266308232086,cielab,
Annies Parlour.jpg,msp,True,False,False,137.370778698225,22.7886879461033,cielab,
Anthony Cragg Sculpture.jpg,msp,False,False,False,137.348887573965,22.9095879376423,cielab,
Ard Godfrey House.jpg,msp,False,False,False,137.385469822485,22.8159125930527,cielab,
Armory.jpg,msp,True,False,False,137.354265088757,22.8093565180519,cielab,
Arvonne Fraser Library.jpg,msp,True,False,False,137.353964497041,22.8406303921061,cielab,
Aster Cafe.jpg,msp,True,False,False,137.325484023669,22.851911909112,cielab,
Att Tower.jpg,msp,True,False,False,137.298118343195,22.7980110989717,cielab,
Augsburg University.jpg,msp,True,False,False,137.374807100592,22.855152490784,cielab,
Band Box Diner.jpg,msp,True,False,False,137.333552662722,22.857998885191,cielab,
Baseball Statue.jpg,msp,False,False,False,137.369879289941,22.8597073230755,cielab,
Basillica.jpg,msp,True,False,False,137.300347928994,22.8785168214627,cielab,
Beltrami.jpg,msp,True,False,False,137.357289940828,22.8338364255772,cielab,
Bethlehem Baptist Church.jpg,msp,True,False,False,137.409171597633,22.8422820578332,cielab,
Black Coffee And Waffle Bar.jpg,msp,True,False,False,137.33355739645,23.0042986681784,cielab,
Boom Island Lighthouse.jpg,msp,False,False,False,137.386662721893,22.8218800777388,cielab,
Boynton Health.jpg,msp,True,False,False,137.352087573964,22.8971099961235,cielab,
Britts Pub.jpg,msp,True,False,False,137.453981065089,22.8692458409663,cielab,
Bruininks Hall.jpg,msp,True,False,False,137.331353846154,22.9584520258126,cielab,
Building And Tower Statue.jpg,msp,False,False,True,137.308101775148,23.1125727954537,cielab,
Caleb Ddorr Statue.jpg,msp,False,False,False,137.365777514793,22.8199777199942,cielab,
Campbell Mithun Tower.jpg,msp,True,False,False,137.374913609467,22.960247628159,cielab,
Carlson School Of Management.jpg,msp,True,False,False,137.342584615385,22.8294433379042,cielab,
Cedar Riverside.jpg,msp,True,False,False,137.377808284024,22.854017436143,cielab,
Central Ave NE.jpg,msp,False,False,False,137.352511242604,22.7945980513121,cielab,
Central Lutheran Church.jpg,msp,True,False,False,137.395313609467,22.8176996968989,cielab,
Charlie Brown Statue.jpg,msp,False,False,False,137.348243786982,22.9990146867357,cielab,
Chicago Liquior.jpg,msp,False,False,False,137.29580591716,22.9327754789311,cielab,
Childrens Hospital.jpg,msp,True,False,False,137.418257988166,22.8296013571231,cielab,
Cinnabon Store.jpg,msp,False,False,False,137.322603550296,22.8206618273721,cielab,
City Hall Statue.jpg,msp,False,False,False,137.322014201183,23.021650558294,cielab,
Coffman Memorial Union.jpg,msp,True,False,False,137.305342011834,22.8862951028321,cielab,
Craft Council Building.jpg,msp,True,False,False,137.347384615385,22.8400577393855,cielab,
Daytons.jpg,msp,True,False,False,137.358752662722,22.8073327657562,cielab,
Dinky Town.jpg,msp,True,False,False,137.371271005917,22.8161964525654,cielab,
Disappearing People Statues.jpg,msp,False,False,False,137.353865088757,22.827762415432,cielab,
Earle Brown House Statue.jpg,msp,False,False,False,137.377618934911,22.8234803399387,cielab,
East Hennepin Avenue Buildings Statue.jpg,msp,False,False,False,137.372617751479,22.8010583899869,cielab,
