SourceName,ProcessedName
Acadia_Cafe,Acadia Cafe
Ard Godfrey House,Ard Godfrey House
Augsburg_University,Augsburg University
Band_Box_Diner,Band Box Diner
Beltrami,Beltrami
Black Coffee and Waffle Bar,Black Coffee And Waffle Bar
Boynton Health,Boynton Health
Cedar-Riverside,Cedar Riverside
Central_Ave_NE,Central Ave NE
Cinnabon Store,Cinnabon Store
DinkyTown,Dinky Town
ElliotPark,Elliot Park
Emiliano Zapata Statue,Emiliano Zapata Statue
Folwell,Folwell
Goldy Gopher,Goldy Gopher
Guthrie Theatre,Guthrie Theatre
Hennepin Avenue Bridge,Hennepin Avenue Bridge
Hennepin County Sheriff_s Office,Hennepin County Sheriff S Office
Hope_Community_Church,Hope Community Church
Ichel_AnniesParlour,Annies Parlour
Ichel_BruininksHall,Bruininks Hall
Ichel_BuildingAndTowerStatue,Building And Tower Statue
Ichel_CalebDDorrStatue,Caleb Ddorr Statue
Ichel_EarleBrownHouseStatue,Earle Brown House Statue
Ichel_EastHennepinAvenueBuildingsStatue,East Hennepin Avenue Buildings Statue
Ichel_EddyHallSculptures,Eddy Hall Sculptures
Ichel_FirstCongregationalChurchStatue,First Congregational Church Statue
Ichel_FlorenceCourtStatue,Florence Court Statue
Ichel_FolwellHall,Folwell Hall
Ichel_Fred L Smith House Statue,Fred L Smith House Statue
Ichel_GoldMedalFlourBuilding,Gold Medal Flour Building
Ichel_GoldMedalParkSign,Gold Medal Park Sign
Ichel_GuthrieTheater,Guthrie Theater
Ichel_HennepinCountyGovernmentCenter,Hennepin County Government Center
Ichel_InternationalChristianUnityBibleCollege,International Christian Unity Bible College
Ichel_JohnDudleyHouseStatue,John Dudley House Statue
Ichel_JonesHallSculpture,Jones Hall Sculpture
Ichel_LoringParkGreenway,Loring Park Greenway
Ichel_LuterGageJohnsonStoreStatue,Luter Gage Johnson Store Statue
Ichel_M Flowers,M Flowers
Ichel_MainStreetBuildings,Main Street Buildings
Ichel_ManLiftingWheatSackStatue,Man Lifting Wheat Sack Statue
Ichel_MinneapolisCourthouse,Minneapolis Courthouse
Ichel_MoleculaStatue,Molecula Statue
Ichel_MoosTower,Moos Tower
Ichel_NewsRoom,News Room
Ichel_NorthropAuditorium,Northrop Auditorium
Ichel_OctaviusBroughtonHouseStatue,Octavius Broughton House Statue
Ichel_PeterLessHouseStatue,Peter Less House Statue
Ichel_PillsburyAMillStatue,Pillsbury Amill Statue
Ichel_PillsburyLibrary,Pillsbury Library
Ichel_PillsburyStatue,Pillsbury Statue
Ichel_PrinceMural,Prince Mural
Ichel_ShepardManufacturingCompanyStatue,Shepard Manufacturing Company Statue
Ichel_StoneArchBridge,Stone Arch Bridge
Ichel_ThomasFAndrewsHouseStatue,Thomas Fandrews House Statue
Ichel_UMN Sign,UMN Sign
